id;brand;model;first_reg;fuel;mileage_km;seller_type;swift;price;power_hp
88;mercedes-benz;a 180;06-2010;b;94800;d;Manual;8900;116
89;mercedes-benz;e 220;05-2010;d;181000;p;Automatic;10900;170
90;mercedes-benz;c 220;11-2010;d;200000;p;Manual;9500;170
91;mercedes-benz;a 160;01-2010;b;116000;d;Manual;6200;95
92;mercedes-benz;e 280;12-2010;d;92525;p;Automatic;10000;193
93;mercedes-benz;e 350;09-2010;d;180000;p;Manual;15000;231
94;mercedes-benz;c 350;12-2010;d;190000;p;Automatic;12500;231
95;mercedes-benz;c 220;07-2010;d;50361;d;Manual;13250;170
96;mercedes-benz;s 450;01-2010;b;270000;p;Manual;20000;340
97;mercedes-benz;a 200;08-2010;d;139000;p;Automatic;6800;140
98;mercedes-benz;viano;03-2010;d;370000;p;Manual;12000;163
99;mercedes-benz;e 220;10-2010;d;171000;p;Automatic;17500;170
100;mercedes-benz;unknown;02-2010;d;132625;d;Manual;18300;129
101;mercedes-benz;c 220;12-2010;d;221000;p;Automatic;9000;170
102;mercedes-benz;c 200;07-2010;d;150000;d;Automatic;7450;136
103;mercedes-benz;e 350;01-2010;d;210000;p;Manual;17000;231
104;mercedes-benz;g 350;03-2010;d;98000;p;Automatic;51000;224
105;mercedes-benz;e 350;04-2010;d;152000;d;Automatic;16300;231
106;mercedes-benz;c 220;10-2010;d;214000;p;Manual;12000;170
107;mercedes-benz;e 220;05-2010;d;242595;p;Manual;13400;170
108;mercedes-benz;c 200;12-2010;d;202868;d;Automatic;8500;136
109;mercedes-benz;c 220;01-2010;d;250000;d;Manual;4999;170
110;mercedes-benz;c 220;02-2010;d;268000;p;Automatic;6500;136
111;mercedes-benz;c 200;09-2010;d;189000;d;Manual;7500;136
112;mercedes-benz;r 350;10-2010;d;179000;d;Automatic;15900;265
113;mercedes-benz;c 220;10-2010;d;107000;p;Manual;10000;170
114;mercedes-benz;e 200;09-2010;d;205000;p;Automatic;10999;136
115;mercedes-benz;e 350;01-2010;d;310000;p;Manual;12500;231
116;mercedes-benz;e 350;06-2010;d;211000;p;Manual;11500;231
117;mercedes-benz;c 200;01-2010;d;119000;d;Automatic;11800;136
118;mercedes-benz;c 220;10-2010;d;162000;p;Automatic;9000;170
119;mercedes-benz;e 350;07-2010;d;320000;p;Manual;12500;231
120;mercedes-benz;r 350;11-2010;d;173720;p;Manual;13500;224
121;mercedes-benz;e 350;01-2010;d;118800;d;Automatic;13699;231
122;mercedes-benz;e 250;12-2010;d;190000;p;Manual;10500;204
123;mercedes-benz;e 250;01-2010;d;222000;p;Manual;11500;204
124;mercedes-benz;e 350;09-2010;d;130000;p;Manual;18000;231
125;mercedes-benz;e 220;10-2010;d;192000;p;Manual;11000;170
126;mercedes-benz;clk 320;03-2010;d;153000;p;Automatic;11900;224
127;mercedes-benz;e 250;12-2010;d;287000;d;Manual;10000;204
128;mercedes-benz;a 180;10-2010;d;235000;p;Automatic;5000;109
129;mercedes-benz;cl;04-2010;b;150000;p;Automatic;22500;387
130;mercedes-benz;e 350;06-2010;d;188600;p;Automatic;11900;231
131;mercedes-benz;e 250;06-2010;d;280000;p;Manual;10500;204
132;mercedes-benz;clc;01-2010;d;47000;p;Manual;16850;122
133;mercedes-benz;e 220;08-2010;d;235000;d;Automatic;12000;170
134;mercedes-benz;cl;07-2010;b;221100;p;Manual;19900;517
135;mercedes-benz;e 350;10-2010;d;260000;p;Automatic;11900;231
136;mercedes-benz;e 250;08-2010;d;60000;d;Automatic;19900;204
137;mercedes-benz;gl 350;04-2010;d;307600;d;Automatic;24000;224
138;mercedes-benz;ml 350;12-2010;d;258000;p;Automatic;13900;231
139;mercedes-benz;ml 350;07-2010;d;197000;p;Manual;14400;224
140;mercedes-benz;ml 350;01-2010;d;210000;p;Manual;13000;224
141;mercedes-benz;glk 220;05-2010;d;125000;p;Automatic;15000;170
142;mercedes-benz;ml 350;11-2010;d;265000;d;Automatic;15500;231
143;mercedes-benz;glk 220;02-2010;d;160000;p;Automatic;14500;170
144;mercedes-benz;ml 350;07-2010;d;175000;p;Automatic;14500;211
145;mercedes-benz;glk 220;02-2010;d;150000;p;Manual;12900;170
146;mercedes-benz;ml 300;10-2010;d;230000;d;Automatic;13900;190
147;mercedes-benz;glk 220;02-2010;d;150000;p;Manual;12900;170
148;mercedes-benz;ml 350;02-2010;d;140000;p;Automatic;19500;258
149;mercedes-benz;glk 220;02-2010;d;150000;p;Automatic;12900;170
150;mercedes-benz;ml 350;09-2010;d;160000;d;Automatic;15990;231
151;mercedes-benz;ml 350;10-2010;d;157000;p;Automatic;15500;231
152;mercedes-benz;gl 420;05-2010;d;260000;d;Automatic;12500;306
153;mercedes-benz;glk 220;11-2010;d;250000;p;Automatic;14000;170
154;mercedes-benz;ml 350;11-2010;d;119000;p;Automatic;15500;231
155;mercedes-benz;glk 250;12-2010;d;239500;p;Automatic;11000;204
156;mercedes-benz;ml 350;01-2010;d;214000;p;Manual;11100;211
157;mercedes-benz;c 220;07-2010;d;139000;d;Manual;8500;170
158;mercedes-benz;c 220;10-2010;d;180000;p;Manual;11000;170
159;mercedes-benz;e 350;11-2010;d;250000;p;Manual;12500;231
160;mercedes-benz;c 200;10-2010;d;281000;p;Manual;5400;136
161;mercedes-benz;c 200;10-2010;d;185000;d;Manual;7600;136
162;mercedes-benz;c 220;03-2010;d;249000;p;Manual;7500;170
163;mercedes-benz;cl;02-2010;d;133018;d;Automatic;18900;231
164;mercedes-benz;e 350;11-2010;d;450000;p;Automatic;9900;231
165;mercedes-benz;e 350;05-2010;d;230000;d;Automatic;12300;231
166;mercedes-benz;ml 350;11-2010;d;249000;d;Automatic;13500;224
167;mercedes-benz;glk 220;01-2010;d;188000;p;Manual;16000;170
168;mercedes-benz;glk 220;03-2010;d;195000;p;Manual;11000;170
169;mercedes-benz;glk 220;05-2010;d;215415;d;Automatic;10200;170
170;mercedes-benz;glk 220;04-2010;d;227200;p;Automatic;12900;170
171;mercedes-benz;gl 500;11-2010;b;181000;p;Manual;30000;387
172;mercedes-benz;glk 250;07-2010;d;199000;p;Automatic;14900;204
173;mercedes-benz;ml 350;06-2010;d;80000;p;Manual;12500;211
174;mercedes-benz;glk 220;12-2010;d;197000;p;Automatic;13500;170
175;mercedes-benz;ml 350;11-2010;d;207169;p;Automatic;13000;211
176;mercedes-benz;ml 350;05-2010;d;250000;p;Manual;12000;224
177;mercedes-benz;glk 220;12-2010;d;260000;p;Automatic;12990;170
178;mercedes-benz;glk 250;05-2010;d;215000;p;Manual;12700;204
179;mercedes-benz;glk 220;05-2010;d;300000;p;Manual;12000;170
180;mercedes-benz;glk 220;05-2010;d;202000;p;Manual;12500;170
181;mercedes-benz;ml 320;05-2010;d;196000;p;Automatic;13500;224
182;mercedes-benz;glk 220;07-2010;d;203000;p;Automatic;11990;170
183;mercedes-benz;ml 300;12-2010;d;170000;d;Automatic;18900;190
184;mercedes-benz;ml 300;10-2010;d;149900;p;Automatic;12900;224
185;mercedes-benz;glk 220;06-2010;d;220614;d;Automatic;11400;170
186;mercedes-benz;glk 220;08-2010;d;135000;d;Automatic;13700;170
187;mercedes-benz;e 220;12-2010;d;130000;p;Manual;16490;170
188;mercedes-benz;slk 200;07-2010;b;133500;d;Automatic;17400;184
189;mercedes-benz;slk 200;09-2010;b;71000;p;Manual;14500;184
190;mercedes-benz;sl 350;06-2010;b;46000;d;Manual;46900;315
191;mercedes-benz;e 350;06-2010;d;176888;d;Automatic;17900;231
192;mercedes-benz;e 250;12-2010;d;133251;p;Automatic;26000;204
193;mercedes-benz;e 350;09-2010;d;213000;d;Automatic;15900;231
194;mercedes-benz;e 350;04-2010;d;201000;p;Manual;18000;231
195;mercedes-benz;e 250;03-2010;d;79257;d;Manual;23100;204
196;mercedes-benz;slk 200;09-2010;b;71000;p;Manual;14500;184
197;mercedes-benz;slk 200;09-2010;b;74000;d;Manual;17500;184
198;mercedes-benz;slk 200;07-2010;b;94000;d;Manual;18800;184
199;mercedes-benz;slk 200;06-2010;b;100000;p;Automatic;15900;184
200;mercedes-benz;slk 200;04-2010;b;16000;p;Manual;19500;163
201;mercedes-benz;slk 200;10-2010;b;56400;d;Automatic;22900;184
202;mercedes-benz;slk 200;11-2010;b;59480;p;Automatic;20950;184
203;mercedes-benz;e 350;04-2010;d;121000;p;Manual;26500;231
204;mercedes-benz;slk 200;06-2010;b;157000;d;Automatic;15800;184
205;mercedes-benz;e 350;06-2010;d;206000;d;Automatic;15500;231
206;mercedes-benz;sl 350;01-2010;b;139000;p;Manual;27900;315
207;mercedes-benz;c 180;03-2010;l;67570;p;Automatic;14000;156
208;mercedes-benz;c 250;12-2010;b;148700;d;Automatic;13900;204
209;mercedes-benz;c 220;02-2010;d;185200;d;Automatic;7400;170
210;mercedes-benz;e 350;05-2010;d;249000;d;Automatic;9500;231
211;mercedes-benz;c 220;03-2010;d;176000;d;Manual;8800;170
212;mercedes-benz;e 350;04-2010;d;291000;d;Manual;7990;231
213;mercedes-benz;c 220;02-2010;d;369683;d;Manual;4999;170
214;mercedes-benz;c 250;11-2010;d;182000;p;Manual;9000;204
215;mercedes-benz;glk 220;02-2010;d;236400;d;Automatic;10990;170
216;mercedes-benz;e 250;02-2010;d;175000;p;Manual;8900;204
217;mercedes-benz;e 350;05-2010;d;227200;p;Manual;10000;231
218;mercedes-benz;e 350;05-2010;d;201000;p;Manual;10000;231
219;mercedes-benz;c 220;12-2010;d;154335;d;Automatic;9890;170
220;mercedes-benz;c 220;03-2010;d;320000;p;Manual;5000;170
221;mercedes-benz;e 220;06-2010;d;400000;p;Automatic;5300;170
222;mercedes-benz;e 250;06-2010;d;218000;p;Manual;10300;204
223;mercedes-benz;c 350;02-2010;d;185000;d;Manual;11500;224
224;mercedes-benz;c 220;12-2010;d;147000;d;Automatic;11900;170
225;mercedes-benz;c 220;02-2010;d;235000;d;Automatic;9800;170
226;mercedes-benz;e 200;08-2010;d;219000;d;Automatic;9500;136
227;mercedes-benz;250;03-2010;d;146000;p;Automatic;15000;120
228;mercedes-benz;e 350;03-2010;b;99000;d;Automatic;15900;292
229;mercedes-benz;e 250;04-2010;d;240000;p;Manual;15000;204
230;mercedes-benz;clc;02-2010;d;189000;d;Manual;6799;150
231;mercedes-benz;e 350;06-2010;d;150000;p;Manual;12000;231
232;mercedes-benz;e 350;06-2010;d;150000;p;Manual;12000;231
233;mercedes-benz;e 220;05-2010;d;79453;d;Automatic;15990;170
234;mercedes-benz;sls;05-2010;b;4000;d;Manual;278000;571
235;mercedes-benz;clc;09-2010;d;197000;d;Manual;7990;122
236;mercedes-benz;e 350;11-2010;d;255000;p;Automatic;11700;231
237;mercedes-benz;e 220;07-2010;d;92100;p;Automatic;13000;170
238;mercedes-benz;e 500;07-2010;b;90000;p;Automatic;22000;387
239;mercedes-benz;sls;06-2010;b;58100;d;Automatic;245000;571
240;mercedes-benz;e 250;09-2010;d;166220;d;Manual;16900;204
241;mercedes-benz;sls;09-2010;b;17000;d;Automatic;272500;571
242;mercedes-benz;e 350;02-2010;d;141756;p;Manual;13000;231
243;mercedes-benz;clc;01-2010;d;176000;p;Automatic;6000;150
244;mercedes-benz;e 220;12-2010;d;257000;p;Automatic;10500;170
245;mercedes-benz;cl;07-2010;b;122000;p;Manual;95000;612
246;mercedes-benz;e 220;06-2010;d;229000;d;Manual;11570;170
247;mercedes-benz;glk 220;01-2010;d;151463;d;Manual;12500;170
248;mercedes-benz;glk 220;03-2010;d;160000;p;Automatic;12000;170
249;mercedes-benz;glk 220;11-2010;d;288000;d;Automatic;8900;170
250;mercedes-benz;glk 220;08-2010;d;153000;d;Automatic;13500;170
251;mercedes-benz;glk 220;08-2010;d;149000;d;Automatic;13500;170
252;mercedes-benz;glk 220;04-2010;d;205000;p;Manual;12800;170
253;mercedes-benz;ml 350;06-2010;d;267000;d;Automatic;11900;211
254;mercedes-benz;ml 300;12-2010;d;159000;d;Manual;17800;204
255;mercedes-benz;glk 220;09-2010;d;206000;p;Automatic;9500;170
256;mercedes-benz;glk 220;07-2010;d;82000;p;Manual;13999;170
257;mercedes-benz;glk 220;06-2010;d;245000;d;Automatic;12000;170
258;mercedes-benz;glk 220;03-2010;d;250000;d;Manual;10500;170
259;mercedes-benz;glk 220;06-2010;d;144000;d;Automatic;13800;170
260;mercedes-benz;glk 220;04-2010;d;200000;p;Manual;10000;170
261;mercedes-benz;ml 350;08-2010;d;236400;p;Manual;14950;231
